Start_Date,Name,Data Value,Season
2008-12-01,Fine particles (PM 2.5),11.4,Winter
2022-06-01,Nitrogen dioxide (NO2),10.9,Summer
2015-12-31,Nitrogen dioxide (NO2),23.2,Winter
2018-01-01,Nitrogen dioxide (NO2),22.2,Winter
2021-06-01,Nitrogen dioxide (NO2),15.7,Summer
2015-12-31,Nitrogen dioxide (NO2),17.9,Winter
2018-01-01,Nitrogen dioxide (NO2),21.0,Winter
2021-12-01,Nitrogen dioxide (NO2),22.1,Winter
2021-12-01,Nitrogen dioxide (NO2),21.8,Winter
2014-06-01,Fine particles (PM 2.5),10.9,Summer
2015-01-01,Fine particles (PM 2.5),9.6,Winter
2008-12-01,Fine particles (PM 2.5),10.6,Winter
2010-12-01,Fine particles (PM 2.5),10.5,Winter
2012-12-01,Fine particles (PM 2.5),9.4,Winter
2012-12-01,Fine particles (PM 2.5),9.2,Winter
2012-06-01,Fine particles (PM 2.5),10.6,Summer
2013-06-01,Fine particles (PM 2.5),10.6,Summer
2018-01-01,Fine particles (PM 2.5),7.4,Winter
2021-06-01,Fine particles (PM 2.5),8.7,Summer
2021-12-01,Fine particles (PM 2.5),7.4,Winter
2012-06-01,Fine particles (PM 2.5),9.4,Summer
2013-06-01,Fine particles (PM 2.5),9.4,Summer
2021-12-01,Fine particles (PM 2.5),7.3,Winter
2013-06-01,Fine particles (PM 2.5),11.4,Summer
2012-06-01,Fine particles (PM 2.5),11.4,Summer
2021-06-01,Fine particles (PM 2.5),8.3,Summer
2021-12-01,Fine particles (PM 2.5),7.0,Winter
2009-06-01,Fine particles (PM 2.5),9.6,Summer
2012-12-01,Fine particles (PM 2.5),7.6,Winter
2010-12-01,Fine particles (PM 2.5),10.3,Winter
2009-06-01,Fine particles (PM 2.5),12.1,Summer
2013-06-01,Nitrogen dioxide (NO2),16.6,Summer
2018-01-01,Nitrogen dioxide (NO2),17.2,Winter
2014-12-01,Fine particles (PM 2.5),9.4,Winter
2018-01-01,Fine particles (PM 2.5),7.5,Winter
2021-12-01,Fine particles (PM 2.5),7.3,Winter
2021-06-01,Fine particles (PM 2.5),8.8,Summer
2015-12-31,Fine particles (PM 2.5),8.1,Winter
2017-01-01,Fine particles (PM 2.5),7.2,Winter
2021-01-01,Fine particles (PM 2.5),6.8,Winter
2017-01-01,Nitrogen dioxide (NO2),18.5,Winter
2009-06-01,Nitrogen dioxide (NO2),21.4,Summer
2015-12-01,Nitrogen dioxide (NO2),20.9,Winter
2010-06-01,Nitrogen dioxide (NO2),17.9,Summer
2016-06-01,Nitrogen dioxide (NO2),13.1,Summer
2020-12-01,Nitrogen dioxide (NO2),27.0,Winter
2020-12-01,Nitrogen dioxide (NO2),21.2,Winter
2010-06-01,Nitrogen dioxide (NO2),19.0,Summer
2021-06-01,Nitrogen dioxide (NO2),20.2,Summer
2008-12-01,Nitrogen dioxide (NO2),22.3,Winter
2019-12-01,Nitrogen dioxide (NO2),27.7,Winter
2012-12-01,Nitrogen dioxide (NO2),26.7,Winter
2015-06-01,Nitrogen dioxide (NO2),15.5,Summer
2009-01-01,Asthma emergency department visits due to PM2.5,81.7,Winter
2009-01-01,Asthma emergency department visits due to PM2.5,80.0,Winter
2009-01-01,Asthma emergency department visits due to PM2.5,115.8,Winter
2015-01-01,Asthma emergency department visits due to PM2.5,69.6,Winter
2015-01-01,Asthma emergency department visits due to PM2.5,43.0,Winter
2010-12-01,Fine particles (PM 2.5),14.9,Winter
2012-12-01,Fine particles (PM 2.5),10.0,Winter
2017-01-01,Fine particles (PM 2.5),8.4,Winter
2021-01-01,Fine particles (PM 2.5),7.6,Winter
2017-01-01,Fine particles (PM 2.5),7.9,Winter
2018-01-01,Fine particles (PM 2.5),6.7,Winter
2018-01-01,Fine particles (PM 2.5),7.0,Winter
2018-01-01,Fine particles (PM 2.5),8.7,Winter
2013-06-01,Fine particles (PM 2.5),9.7,Summer
2017-01-01,Fine particles (PM 2.5),7.1,Winter
2009-06-01,Fine particles (PM 2.5),10.1,Summer
2010-12-01,Fine particles (PM 2.5),11.8,Winter
2012-12-01,Fine particles (PM 2.5),8.3,Winter
2017-01-01,Fine particles (PM 2.5),7.4,Winter
2021-01-01,Fine particles (PM 2.5),7.0,Winter
2014-12-01,Nitrogen dioxide (NO2),22.7,Winter
2015-12-01,Nitrogen dioxide (NO2),23.4,Winter
2011-06-01,Nitrogen dioxide (NO2),21.3,Summer
2015-12-31,Nitrogen dioxide (NO2),21.4,Winter
2012-12-01,Nitrogen dioxide (NO2),23.1,Winter
2009-12-01,Nitrogen dioxide (NO2),21.3,Winter
2019-06-01,Nitrogen dioxide (NO2),13.3,Summer
2019-12-01,Nitrogen dioxide (NO2),22.3,Winter
2012-12-01,Nitrogen dioxide (NO2),22.0,Winter
2009-12-01,Nitrogen dioxide (NO2),19.8,Winter
2012-12-01,Nitrogen dioxide (NO2),21.0,Winter
2015-01-01,Asthma emergency department visits due to PM2.5,81.6,Winter
2009-06-01,Fine particles (PM 2.5),10.0,Summer
2012-12-01,Fine particles (PM 2.5),8.0,Winter
2017-01-01,Fine particles (PM 2.5),6.8,Winter
2021-01-01,Fine particles (PM 2.5),6.2,Winter
2017-01-01,Fine particles (PM 2.5),7.9,Winter
2021-01-01,Fine particles (PM 2.5),6.9,Winter
2010-12-01,Fine particles (PM 2.5),13.4,Winter
2012-12-01,Fine particles (PM 2.5),8.7,Winter
2012-12-01,Nitrogen dioxide (NO2),16.8,Winter
2014-12-01,Nitrogen dioxide (NO2),22.7,Winter
2017-01-01,Nitrogen dioxide (NO2),16.4,Winter
2021-01-01,Nitrogen dioxide (NO2),14.3,Winter
2011-12-01,Nitrogen dioxide (NO2),17.2,Winter
2013-06-01,Fine particles (PM 2.5),11.5,Summer
2021-12-01,Fine particles (PM 2.5),8.4,Winter
2013-06-01,Fine particles (PM 2.5),11.8,Summer
2009-06-01,Fine particles (PM 2.5),10.4,Summer
2017-01-01,Fine particles (PM 2.5),7.5,Winter
2010-12-01,Fine particles (PM 2.5),9.8,Winter
2015-01-01,Fine particles (PM 2.5),8.1,Winter
2020-01-01,Fine particles (PM 2.5),5.9,Winter
2008-12-01,Fine particles (PM 2.5),9.4,Winter
2020-01-01,Fine particles (PM 2.5),5.7,Winter
2011-12-01,Nitrogen dioxide (NO2),17.3,Winter
2022-06-01,Nitrogen dioxide (NO2),9.8,Summer
2018-01-01,Nitrogen dioxide (NO2),20.8,Winter
2021-06-01,Nitrogen dioxide (NO2),14.2,Summer
2013-06-01,Nitrogen dioxide (NO2),14.0,Summer
2018-01-01,Nitrogen dioxide (NO2),10.5,Winter
2021-06-01,Nitrogen dioxide (NO2),4.9,Summer
2021-12-01,Nitrogen dioxide (NO2),18.6,Winter
2015-12-31,Nitrogen dioxide (NO2),16.2,Winter
2018-01-01,Nitrogen dioxide (NO2),16.2,Winter
2021-06-01,Nitrogen dioxide (NO2),9.9,Summer
2021-01-01,Nitrogen dioxide (NO2),16.0,Winter
2014-12-01,Fine particles (PM 2.5),10.9,Winter
2012-12-01,Fine particles (PM 2.5),9.8,Winter
2009-06-01,Fine particles (PM 2.5),11.5,Summer
2015-12-31,Fine particles (PM 2.5),9.3,Winter
2012-06-01,Fine particles (PM 2.5),11.2,Summer
2021-12-01,Fine particles (PM 2.5),9.4,Winter
2019-06-01,Nitrogen dioxide (NO2),11.7,Summer
2010-12-01,Nitrogen dioxide (NO2),21.6,Winter
2008-12-01,Nitrogen dioxide (NO2),22.3,Winter
2014-06-01,Nitrogen dioxide (NO2),13.6,Summer
2018-12-01,Nitrogen dioxide (NO2),19.9,Winter
2020-01-01,Nitrogen dioxide (NO2),14.3,Winter
2008-12-01,Nitrogen dioxide (NO2),22.1,Winter
2008-12-01,Nitrogen dioxide (NO2),21.3,Winter
2010-12-01,Nitrogen dioxide (NO2),20.4,Winter
2010-12-01,Nitrogen dioxide (NO2),28.4,Winter
2009-06-01,Nitrogen dioxide (NO2),18.5,Summer
2012-12-01,Nitrogen dioxide (NO2),19.1,Winter
2017-01-01,Nitrogen dioxide (NO2),17.8,Winter
2021-01-01,Nitrogen dioxide (NO2),15.1,Winter
2010-12-01,Nitrogen dioxide (NO2),25.4,Winter
2012-12-01,Nitrogen dioxide (NO2),18.0,Winter
2021-01-01,Nitrogen dioxide (NO2),15.6,Winter
2009-06-01,Nitrogen dioxide (NO2),17.2,Summer
2010-12-01,Nitrogen dioxide (NO2),26.4,Winter
2014-12-01,Nitrogen dioxide (NO2),24.1,Winter
2017-01-01,Nitrogen dioxide (NO2),18.1,Winter
2021-01-01,Nitrogen dioxide (NO2),15.4,Winter
2017-01-01,Nitrogen dioxide (NO2),18.4,Winter
2010-12-01,Nitrogen dioxide (NO2),32.6,Winter
2017-01-01,Nitrogen dioxide (NO2),20.7,Winter
2021-01-01,Nitrogen dioxide (NO2),19.0,Winter
2009-06-01,Nitrogen dioxide (NO2),23.1,Summer
2010-12-01,Nitrogen dioxide (NO2),28.4,Winter
2014-12-01,Nitrogen dioxide (NO2),24.9,Winter
2012-12-01,Nitrogen dioxide (NO2),18.6,Winter
2018-12-01,Nitrogen dioxide (NO2),25.7,Winter
2011-12-01,Fine particles (PM 2.5),11.2,Winter
2022-06-01,Fine particles (PM 2.5),7.1,Summer
2011-12-01,Fine particles (PM 2.5),10.2,Winter
2012-06-01,Fine particles (PM 2.5),12.1,Summer
2012-06-01,Fine particles (PM 2.5),10.1,Summer
2021-06-01,Fine particles (PM 2.5),8.9,Summer
2021-06-01,Fine particles (PM 2.5),8.5,Summer
2021-12-01,Fine particles (PM 2.5),7.3,Winter
2014-12-01,Fine particles (PM 2.5),11.1,Winter
2009-06-01,Fine particles (PM 2.5),10.2,Summer
2021-01-01,Fine particles (PM 2.5),7.0,Winter
2009-06-01,Fine particles (PM 2.5),12.9,Summer
2021-01-01,Fine particles (PM 2.5),6.5,Winter
2021-01-01,Fine particles (PM 2.5),6.8,Winter
2013-01-01,Boiler Emissions- Total SO2 Emissions,95.0,Winter
2013-01-01,Boiler Emissions- Total SO2 Emissions,11.6,Winter
2013-01-01,Boiler Emissions- Total SO2 Emissions,24.5,Winter
2010-06-01,Fine particles (PM 2.5),11.6,Summer
2020-12-01,Fine particles (PM 2.5),7.1,Winter
2021-06-01,Fine particles (PM 2.5),8.7,Summer
2010-12-01,Nitrogen dioxide (NO2),35.9,Winter
2014-12-01,Nitrogen dioxide (NO2),29.2,Winter
2012-12-01,Nitrogen dioxide (NO2),28.6,Winter
2009-06-01,Nitrogen dioxide (NO2),30.9,Summer
2014-12-01,Nitrogen dioxide (NO2),24.0,Winter
2017-01-01,Nitrogen dioxide (NO2),25.0,Winter
2021-01-01,Nitrogen dioxide (NO2),20.3,Winter
2010-12-01,Nitrogen dioxide (NO2),32.2,Winter
2021-01-01,Nitrogen dioxide (NO2),17.1,Winter
2014-12-01,Nitrogen dioxide (NO2),26.4,Winter
2021-01-01,Nitrogen dioxide (NO2),17.6,Winter
2011-12-01,Nitrogen dioxide (NO2),29.5,Winter
2021-12-01,Fine particles (PM 2.5),6.9,Winter
2010-12-01,Fine particles (PM 2.5),14.3,Winter
2012-12-01,Fine particles (PM 2.5),10.4,Winter
2009-06-01,Nitrogen dioxide (NO2),19.5,Summer
2011-06-01,Nitrogen dioxide (NO2),25.8,Summer
2015-12-01,Nitrogen dioxide (NO2),26.4,Winter
2020-12-01,Nitrogen dioxide (NO2),22.8,Winter
2020-12-01,Nitrogen dioxide (NO2),24.1,Winter
2016-06-01,Nitrogen dioxide (NO2),19.1,Summer
2015-12-01,Nitrogen dioxide (NO2),23.3,Winter
2013-06-01,Nitrogen dioxide (NO2),16.6,Summer
2008-12-01,Nitrogen dioxide (NO2),32.0,Winter
2010-12-01,Nitrogen dioxide (NO2),29.3,Winter
2014-06-01,Nitrogen dioxide (NO2),17.0,Summer
2015-01-01,Nitrogen dioxide (NO2),19.4,Winter
2018-12-01,Nitrogen dioxide (NO2),25.3,Winter
2015-01-01,Nitrogen dioxide (NO2),23.9,Winter
2020-01-01,Nitrogen dioxide (NO2),15.7,Winter
2009-12-01,Nitrogen dioxide (NO2),14.0,Winter
2012-01-02,Asthma emergency department visits due to PM2.5,13.4,Winter
2009-01-01,Asthma emergency department visits due to PM2.5,22.1,Winter
2009-06-01,Fine particles (PM 2.5),11.5,Summer
2010-12-01,Fine particles (PM 2.5),13.6,Winter
2017-01-01,Fine particles (PM 2.5),8.2,Winter
2019-01-01,Fine particles (PM 2.5),7.5,Winter
2017-12-01,Fine particles (PM 2.5),9.4,Winter
2017-12-01,Fine particles (PM 2.5),7.6,Winter
2008-12-01,Fine particles (PM 2.5),13.3,Winter
2012-12-01,Nitrogen dioxide (NO2),30.6,Winter
2009-12-01,Nitrogen dioxide (NO2),28.6,Winter
2012-12-01,Nitrogen dioxide (NO2),18.8,Winter
2014-06-01,Nitrogen dioxide (NO2),15.3,Summer
2010-12-01,Nitrogen dioxide (NO2),14.2,Winter
2008-12-01,Nitrogen dioxide (NO2),14.6,Winter
2015-01-01,Boiler Emissions- Total SO2 Emissions,36.4,Winter
2015-01-01,Boiler Emissions- Total SO2 Emissions,1.2,Winter
2022-06-01,Fine particles (PM 2.5),6.9,Summer
2011-12-01,Fine particles (PM 2.5),12.4,Winter
2022-06-01,Fine particles (PM 2.5),7.1,Summer
2021-12-01,Fine particles (PM 2.5),7.4,Winter
2021-06-01,Fine particles (PM 2.5),9.1,Summer
2013-06-01,Fine particles (PM 2.5),10.8,Summer
2013-06-01,Fine particles (PM 2.5),10.2,Summer
2012-12-01,Fine particles (PM 2.5),8.7,Winter
2010-12-01,Fine particles (PM 2.5),13.4,Winter
2013-01-01,Boiler Emissions- Total SO2 Emissions,15.7,Winter
2013-01-01,Boiler Emissions- Total SO2 Emissions,2.2,Winter
2010-06-01,Fine particles (PM 2.5),11.8,Summer
2015-12-01,Fine particles (PM 2.5),8.3,Winter
2021-12-01,Fine particles (PM 2.5),7.3,Winter
2021-12-01,Fine particles (PM 2.5),9.3,Winter
2012-06-01,Fine particles (PM 2.5),11.1,Summer
2018-01-01,Fine particles (PM 2.5),10.0,Winter
2012-12-01,Nitrogen dioxide (NO2),25.4,Winter
2021-01-01,Nitrogen dioxide (NO2),23.3,Winter
2017-01-01,Nitrogen dioxide (NO2),18.9,Winter
2021-01-01,Nitrogen dioxide (NO2),18.8,Winter
2022-06-01,Nitrogen dioxide (NO2),19.5,Summer
2015-12-31,Fine particles (PM 2.5),8.0,Winter
2013-06-01,Fine particles (PM 2.5),11.0,Summer
2018-01-01,Fine particles (PM 2.5),7.5,Winter
2014-06-01,Fine particles (PM 2.5),11.8,Summer
2022-06-01,Nitrogen dioxide (NO2),11.6,Summer
2011-12-01,Nitrogen dioxide (NO2),24.0,Winter
2022-06-01,Nitrogen dioxide (NO2),10.6,Summer
2021-06-01,Nitrogen dioxide (NO2),20.2,Summer
2022-01-01,Nitrogen dioxide (NO2),18.4,Winter
2013-06-01,Nitrogen dioxide (NO2),16.7,Summer
2012-06-01,Nitrogen dioxide (NO2),16.3,Summer
2018-01-01,Nitrogen dioxide (NO2),17.7,Winter
2021-06-01,Nitrogen dioxide (NO2),10.5,Summer
2013-06-01,Nitrogen dioxide (NO2),13.8,Summer
2012-06-01,Nitrogen dioxide (NO2),15.7,Summer
2013-06-01,Nitrogen dioxide (NO2),13.6,Summer
2012-06-01,Nitrogen dioxide (NO2),15.3,Summer
2015-12-31,Nitrogen dioxide (NO2),17.2,Winter
2021-06-01,Nitrogen dioxide (NO2),11.8,Summer
2018-01-01,Nitrogen dioxide (NO2),15.8,Winter
2009-06-01,Nitrogen dioxide (NO2),17.7,Summer
2010-12-01,Nitrogen dioxide (NO2),28.7,Winter
2012-12-01,Nitrogen dioxide (NO2),19.0,Winter
2017-01-01,Nitrogen dioxide (NO2),17.4,Winter
2021-01-01,Nitrogen dioxide (NO2),14.6,Winter
2021-01-01,Nitrogen dioxide (NO2),16.4,Winter
2010-12-01,Nitrogen dioxide (NO2),30.0,Winter
2009-06-01,Nitrogen dioxide (NO2),25.0,Summer
2012-12-01,Nitrogen dioxide (NO2),22.3,Winter
2011-06-01,Nitrogen dioxide (NO2),17.3,Summer
2010-06-01,Nitrogen dioxide (NO2),18.0,Summer
2020-12-01,Nitrogen dioxide (NO2),20.9,Winter
2011-06-01,Nitrogen dioxide (NO2),16.2,Summer
2010-06-01,Nitrogen dioxide (NO2),16.7,Summer
2015-12-01,Nitrogen dioxide (NO2),22.5,Winter
2020-12-01,Nitrogen dioxide (NO2),18.9,Winter
2020-12-01,Nitrogen dioxide (NO2),21.1,Winter
2016-06-01,Nitrogen dioxide (NO2),13.2,Summer
2013-06-01,Fine particles (PM 2.5),11.0,Summer
2012-06-01,Fine particles (PM 2.5),11.1,Summer
2014-12-01,Fine particles (PM 2.5),10.9,Winter
2014-12-01,Fine particles (PM 2.5),11.1,Winter
2014-12-01,Fine particles (PM 2.5),10.8,Winter
2010-06-01,Nitrogen dioxide (NO2),16.2,Summer
2011-06-01,Nitrogen dioxide (NO2),15.3,Summer
2015-12-01,Nitrogen dioxide (NO2),21.3,Winter
2010-06-01,Nitrogen dioxide (NO2),10.1,Summer
2011-06-01,Nitrogen dioxide (NO2),9.9,Summer
2015-12-01,Nitrogen dioxide (NO2),21.1,Winter
2016-06-01,Nitrogen dioxide (NO2),12.1,Summer
2020-12-01,Nitrogen dioxide (NO2),19.8,Winter
2015-12-01,Nitrogen dioxide (NO2),22.7,Winter
2015-12-01,Nitrogen dioxide (NO2),18.0,Winter
2010-12-01,Nitrogen dioxide (NO2),19.0,Winter
2010-12-01,Nitrogen dioxide (NO2),26.7,Winter
2014-06-01,Nitrogen dioxide (NO2),18.3,Summer
2008-12-01,Nitrogen dioxide (NO2),22.5,Winter
2010-12-01,Nitrogen dioxide (NO2),19.3,Winter
2008-12-01,Nitrogen dioxide (NO2),19.9,Winter
2008-12-01,Nitrogen dioxide (NO2),14.7,Winter
2014-06-01,Nitrogen dioxide (NO2),7.4,Summer
2015-06-01,Nitrogen dioxide (NO2),17.0,Summer
2019-12-01,Nitrogen dioxide (NO2),29.4,Winter
2012-01-02,Asthma emergency department visits due to PM2.5,57.9,Winter
2015-01-01,Asthma emergency department visits due to PM2.5,39.5,Winter
2009-01-01,Asthma emergency department visits due to PM2.5,57.2,Winter
2009-01-01,Asthma emergency department visits due to PM2.5,144.3,Winter
2005-01-01,Asthma emergency department visits due to PM2.5,73.8,Winter
2012-01-02,Asthma emergency department visits due to PM2.5,29.4,Winter
2015-12-31,Fine particles (PM 2.5),8.1,Winter
2021-12-01,Fine particles (PM 2.5),7.1,Winter
2012-12-01,Fine particles (PM 2.5),7.6,Winter
2017-01-01,Fine particles (PM 2.5),6.3,Winter
2021-12-01,Nitrogen dioxide (NO2),22.6,Winter
2009-06-01,Fine particles (PM 2.5),10.6,Summer
2012-12-01,Fine particles (PM 2.5),8.9,Winter
2009-06-01,Fine particles (PM 2.5),10.4,Summer
2013-06-01,Fine particles (PM 2.5),10.4,Summer
2018-01-01,Fine particles (PM 2.5),7.1,Winter
2021-12-01,Fine particles (PM 2.5),7.3,Winter
2018-01-01,Fine particles (PM 2.5),7.1,Winter
2012-06-01,Fine particles (PM 2.5),10.1,Summer
2013-06-01,Fine particles (PM 2.5),10.1,Summer
2018-01-01,Fine particles (PM 2.5),6.5,Winter
2021-12-01,Fine particles (PM 2.5),6.8,Winter
2012-12-01,Fine particles (PM 2.5),8.4,Winter
2014-12-01,Fine particles (PM 2.5),8.8,Winter
2008-12-01,Nitrogen dioxide (NO2),25.8,Winter
2010-12-01,Nitrogen dioxide (NO2),25.0,Winter
2019-12-01,Nitrogen dioxide (NO2),20.3,Winter
2009-12-01,Nitrogen dioxide (NO2),22.8,Winter
2019-06-01,Nitrogen dioxide (NO2),12.7,Summer
2014-12-01,Fine particles (PM 2.5),8.8,Winter
2010-12-01,Fine particles (PM 2.5),14.5,Winter
2012-12-01,Fine particles (PM 2.5),9.8,Winter
2012-12-01,Fine particles (PM 2.5),9.7,Winter
