Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,Latitude,Longitude
175354,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Winter 2010-11,12/1/2010,33.7,,40.787,-73.9754
176698,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2013,12/1/2012,26.5,,40.787,-73.9754
175364,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Winter 2010-11,12/1/2010,26.2,,40.7644,-73.7494
175896,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Summer 2009,6/1/2009,23.1,,40.7071,-73.9235
549854,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,404.0,Bayside - Little Neck,Annual Average 2017,1/1/2017,16.6,,40.7644,-73.7494
740946,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2021,1/1/2021,19.0,,40.7071,-73.9235
549824,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2017,1/1/2017,23.4,,40.787,-73.9754
176656,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2012,12/1/2011,27.1,,40.787,-73.9754
410767,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Annual Average 2016,12/31/2015,7.8,,40.6695,-73.8822
742214,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2021,6/1/2021,9.2,,40.7071,-73.9235
177898,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2012,6/1/2012,10.3,,40.837,-73.8274
177940,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2013,6/1/2013,10.3,,40.837,-73.8274
823296,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,204.0,East New York,Winter 2021-22,12/1/2021,6.7,,40.6695,-73.8822
742172,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2021,6/1/2021,8.5,,40.837,-73.8274
823317,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Winter 2021-22,12/1/2021,7.2,,40.837,-73.8274
334155,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,409.0,Southeast Queens,Winter 2014-15,12/1/2014,8.2,,40.6809,-73.7704
742205,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,Summer 2021,6/1/2021,8.0,,40.64,-73.9101
547411,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,Annual Average 2017,1/1/2017,7.0,,40.64,-73.9101
742269,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,408.0,Jamaica,Annual Average 2021,1/1/2021,6.4,,40.7027,-73.7889
547441,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2017,1/1/2017,10.3,,40.7365,-73.9824
742236,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2021,1/1/2021,8.2,,40.7365,-73.9824
605681,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,107.0,Hunts Point - Mott Haven,Annual Average 2018,1/1/2018,7.9,,40.8201,-73.9018
605735,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2018,1/1/2018,10.3,,40.7365,-73.9824
605765,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,407.0,Southwest Queens,Annual Average 2018,1/1/2018,6.6,,40.6795,-73.8417
177962,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308.0,Greenwich Village - SoHo,Summer 2013,6/1/2013,12.0,,40.7282,-74.0021
549803,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,208.0,Canarsie - Flatlands,Annual Average 2017,1/1/2017,15.6,,40.64,-73.9101
549833,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2017,1/1/2017,30.3,,40.7365,-73.9824
176712,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Annual Average 2013,12/1/2012,19.0,,40.7027,-73.7889
175904,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Summer 2009,6/1/2009,31.6,,40.7282,-74.0021
336567,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Winter 2014-15,12/1/2014,30.2,,40.7282,-74.0021
549836,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Annual Average 2017,1/1/2017,25.6,,40.7282,-74.0021
175913,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407.0,Southwest Queens,Summer 2009,6/1/2009,18.6,,40.6795,-73.8417
742238,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,308.0,Greenwich Village - SoHo,Summer 2021,6/1/2021,10.2,,40.7282,-74.0021
179584,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Summer 2012,6/1/2012,10.4,,40.6782,-73.9442
179589,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Summer 2013,6/1/2013,10.3,,40.6782,-73.9442
410725,365,Fine particles (PM 2.5),Mean,mcg/m3,Borough,2.0,Brooklyn,Annual Average 2016,12/31/2015,7.8,,40.6782,-73.9442
823284,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,208.0,Canarsie - Flatlands,Winter 2021-22,12/1/2021,6.4,,40.64,-73.9101
334095,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202.0,Downtown - Heights - Slope,Winter 2014-15,12/1/2014,10.1,,40.6872,-73.9903
547510,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,202.0,Downtown - Heights - Slope,Annual Average 2017,1/1/2017,8.4,,40.6872,-73.9903
174260,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,Annual Average 2013,12/1/2012,9.5,,40.8467,-73.9362
173614,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,Summer 2009,6/1/2009,11.0,,40.8467,-73.9362
547540,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,301.0,Washington Heights,Annual Average 2017,1/1/2017,7.8,,40.8467,-73.9362
173158,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,102.0,Northeast Bronx,Winter 2010-11,12/1/2010,13.4,,40.8712,-73.8362
212818,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,307.0,Gramercy Park - Murray Hill,Summer 2014,6/1/2014,12.4,,40.7365,-73.9824
825997,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2022,6/1/2022,10.5,,40.7027,-73.7889
412501,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,307.0,Gramercy Park - Murray Hill,Annual Average 2016,12/31/2015,30.1,,40.7365,-73.9824
176040,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,408.0,Jamaica,Summer 2012,6/1/2012,16.2,,40.7027,-73.7889
740969,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Summer 2021,6/1/2021,17.9,,40.7282,-74.0021
825722,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,308.0,Greenwich Village - SoHo,Winter 2021-22,12/1/2021,24.7,,40.7282,-74.0021
177955,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,Summer 2013,6/1/2013,10.4,,40.8467,-73.9362
547390,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,Annual Average 2017,1/1/2017,9.0,,40.7245,-73.9419
177944,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,Summer 2013,6/1/2013,11.5,,40.7245,-73.9419
823305,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201.0,Greenpoint,Winter 2021-22,12/1/2021,7.4,,40.7245,-73.9419
549782,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Annual Average 2017,1/1/2017,21.2,,40.7245,-73.9419
549815,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Annual Average 2017,1/1/2017,20.6,,40.8467,-73.9362
175361,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,401.0,Long Island City - Astoria,Winter 2010-11,12/1/2010,31.5,,40.7447,-73.9485
825775,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Summer 2022,6/1/2022,14.1,,40.7245,-73.9419
825742,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Summer 2022,6/1/2022,13.5,,40.8467,-73.9362
823272,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,301.0,Washington Heights,Winter 2021-22,12/1/2021,7.3,,40.8467,-73.9362
410851,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,501.0,Port Richmond,Annual Average 2016,12/31/2015,7.3,,40.6335,-74.1387
605663,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,101.0,Kingsbridge - Riverdale,Annual Average 2018,1/1/2018,7.0,,40.8803,-73.9055
334116,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,209.0,Bensonhurst - Bay Ridge,Winter 2014-15,12/1/2014,8.5,,40.6111,-74.0125
334122,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,Winter 2014-15,12/1/2014,10.0,,40.7071,-73.9235
547537,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,Annual Average 2017,1/1/2017,8.2,,40.7071,-73.9235
174259,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,211.0,Williamsburg - Bushwick,Annual Average 2013,12/1/2012,9.4,,40.7071,-73.9235
825776,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Winter 2021-22,12/1/2021,23.7,,40.7245,-73.9419
412483,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Annual Average 2016,12/31/2015,19.9,,40.8467,-73.9362
825743,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,301.0,Washington Heights,Winter 2021-22,12/1/2021,21.2,,40.8467,-73.9362
176684,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Annual Average 2013,12/1/2012,22.9,,40.7245,-73.9419
175340,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Winter 2010-11,12/1/2010,32.2,,40.7245,-73.9419
336513,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,201.0,Greenpoint,Winter 2014-15,12/1/2014,26.8,,40.7245,-73.9419
547663,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Annual Average 2017,1/1/2017,7.5,,40.821,-73.827
742458,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Annual Average 2021,1/1/2021,6.5,,40.821,-73.827
168533,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Winter 2010-11,12/1/2010,13.1,,40.821,-73.827
169302,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,212.0,Williamsbridge and Baychester (CD12),Summer 2009,6/1/2009,10.2,,40.877,-73.845
742457,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Summer 2021,6/1/2021,8.4,,40.821,-73.827
823560,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412.0,Jamaica and Hollis (CD12),Winter 2021-22,12/1/2021,6.6,,40.707,-73.792
411121,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410.0,South Ozone Park and Howard Beach (CD10),Annual Average 2016,12/31/2015,6.9,,40.664,-73.842
605957,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,210.0,Throgs Neck and Co-op City (CD10),Annual Average 2018,1/1/2018,6.9,,40.821,-73.827
742547,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410.0,South Ozone Park and Howard Beach (CD10),Summer 2021,6/1/2021,7.8,,40.664,-73.842
169509,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412.0,Jamaica and Hollis (CD12),Summer 2012,6/1/2012,10.0,,40.707,-73.792
169568,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,412.0,Jamaica and Hollis (CD12),Summer 2013,6/1/2013,10.1,,40.707,-73.792
178416,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2009,12/1/2008,11.4,,40.7071,-73.9235
825766,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,204.0,East New York,Summer 2022,6/1/2022,10.9,,40.6695,-73.8822
412492,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2016,12/31/2015,23.2,,40.787,-73.9754
602765,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Annual Average 2018,1/1/2018,22.2,,40.787,-73.9754
740957,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Summer 2021,6/1/2021,15.7,,40.787,-73.9754
412438,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Annual Average 2016,12/31/2015,17.9,,40.837,-73.8274
602753,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2018,1/1/2018,21.0,,40.7071,-73.9235
825734,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,304.0,Upper West Side,Winter 2021-22,12/1/2021,22.1,,40.787,-73.9754
825788,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,104.0,Pelham - Throgs Neck,Winter 2021-22,12/1/2021,21.8,,40.837,-73.8274
212811,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2014,6/1/2014,10.9,,40.7071,-73.9235
334003,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2015,1/1/2015,9.6,,40.7071,-73.9235
178402,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Annual Average 2009,12/1/2008,10.6,,40.837,-73.8274
178486,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Annual Average 2011,12/1/2010,10.5,,40.837,-73.8274
170418,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Annual Average 2013,12/1/2012,9.4,,40.868,-73.892
170430,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Annual Average 2013,12/1/2012,9.2,,40.645,-74.01
169474,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Summer 2012,6/1/2012,10.6,,40.868,-73.892
169533,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Summer 2013,6/1/2013,10.6,,40.868,-73.892
605948,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Annual Average 2018,1/1/2018,7.4,,40.868,-73.892
742448,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Summer 2021,6/1/2021,8.7,,40.868,-73.892
823172,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,207.0,Kingsbridge Heights and Bedford (CD7),Winter 2021-22,12/1/2021,7.4,,40.868,-73.892
169511,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2012,6/1/2012,9.4,,40.6017,-73.8145
169570,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2013,6/1/2013,9.4,,40.6017,-73.8145
823491,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,307.0,Sunset Park (CD7),Winter 2021-22,12/1/2021,7.3,,40.645,-74.01
169521,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107.0,Upper West Side (CD7),Summer 2013,6/1/2013,11.4,,40.787,-73.9754
169462,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107.0,Upper West Side (CD7),Summer 2012,6/1/2012,11.4,,40.787,-73.9754
742538,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407.0,Flushing and Whitestone (CD7),Summer 2021,6/1/2021,8.3,,40.7675,-73.8207
823545,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,407.0,Flushing and Whitestone (CD7),Winter 2021-22,12/1/2021,7.0,,40.7675,-73.8207
169334,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Summer 2009,6/1/2009,9.6,,40.6017,-73.8145
170455,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Annual Average 2013,12/1/2012,7.6,,40.6017,-73.8145
168567,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,414.0,Rockaway and Broad Channel (CD14),Winter 2010-11,12/1/2010,10.3,,40.6017,-73.8145
169285,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,107.0,Upper West Side (CD7),Summer 2009,6/1/2009,12.1,,40.787,-73.9754
176081,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407.0,Southwest Queens,Summer 2013,6/1/2013,16.6,,40.6795,-73.8417
602804,375,Nitrogen dioxide (NO2),Mean,ppb,UHF42,407.0,Southwest Queens,Annual Average 2018,1/1/2018,17.2,,40.6795,-73.8417
334266,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Winter 2014-15,12/1/2014,9.4,,40.6957,-73.9171
605975,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Annual Average 2018,1/1/2018,7.5,,40.6957,-73.9171
823482,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,304.0,Bushwick (CD4),Winter 2021-22,12/1/2021,7.3,,40.6957,-73.9171
742472,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),Summer 2021,6/1/2021,8.8,,40.684,-73.9408
411046,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),Annual Average 2016,12/31/2015,8.1,,40.684,-73.9408
547732,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,403.0,Jackson Heights (CD3),Annual Average 2017,1/1/2017,7.2,,40.7557,-73.8831
742473,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,303.0,Bedford Stuyvesant (CD3),Annual Average 2021,1/1/2021,6.8,,40.684,-73.9408
